date,n,pct_above_ma10,pct_above_ma5,pct_rsi_lt40,pct_up,pct_above_ma5_prev,idx_close,idx_ret,ma5,ma10,rsi,K,D,macd,macd_prev,vol,vol_avg5,max10,drawdown10,J,K_prev,D_prev,oversold_recent
2025-07-09,1373,0.6154406409322651,0.607428987618354,0.0371449380917698,0.3328477785870357,0.7654770575382375,2184.675,0.0016496437310558054,2163.252,2147.9681000000005,65.18848701413103,79.27724956024345,79.94806363750436,14.435325513182605,14.073359502905795,23366909133.0,22061129060.2,2184.675,0.0,77.93562140572163,79.77668618060892,80.28347067613481,False
2025-07-10,1372,0.5495626822157434,0.5604956268221575,0.0473760932944606,0.4030612244897959,0.607428987618354,2189.577,0.0022438120086512026,2168.3498,2155.4833,65.77526027759697,80.35402633810344,80.08338453770405,14.000223702492676,14.435325513182605,22055990969.0,22048933459.6,2189.577,0.0,80.89530993890222,79.27724956024345,79.94806363750436,False
2025-07-11,1373,0.5702840495265841,0.5287691187181355,0.0364166059723233,0.5360524399126001,0.5604956268221575,2207.097,0.008001545503994567,2178.5224000000003,2163.7586,67.86039189162999,81.74515492632106,80.63730800057638,14.666937201609002,14.000223702492676,23842646073.0,22073380138.0,2207.097,0.0,83.96084877781044,80.35402633810344,80.08338453770405,False
2025-07-14,1371,0.6601021152443471,0.5689277899343544,0.0342815463165572,0.6024799416484318,0.5287691187181355,2197.068,-0.004543977904006957,2191.8988,2168.1639999999998,65.40395537240498,79.48125726866645,80.2519577566064,12.43964241016181,14.666937201609002,20214601116.0,22196016733.8,2207.097,0.0045439779040069355,77.93985629278654,81.74515492632106,80.63730800057638,False
2025-07-15,1372,0.4978134110787172,0.3775510204081632,0.0459183673469387,0.2623906705539358,0.5689277899343544,2235.049,0.017287129938627244,2202.6932,2176.8770000000004,69.85442821116482,83.41305283640868,81.30565611654049,14.614617380283278,12.43964241016181,22484388681.0,22461485868.4,2235.049,0.0,87.62784627614508,79.48125726866645,80.2519577566064,False
2025-07-16,1373,0.5571740713765477,0.4792425345957756,0.0356882738528769,0.6125273124544792,0.3775510204081632,2230.194,-0.0021722118843926497,2211.797,2187.5245000000004,68.63892062357641,81.58060739581987,81.39730654296696,13.93413740507944,14.614617380283278,20510981734.0,22392907194.4,2235.049,0.002172211884392699,81.94720910152569,83.41305283640868,81.30565611654049,False
2025-07-17,1374,0.6906841339155749,0.7008733624454149,0.0305676855895196,0.7590975254730713,0.4792425345957756,2269.327,0.01754690399131209,2227.7470000000003,2198.0484,72.7542211133477,87.64110905928031,83.47857404840474,17.082249548530186,13.93413740507944,21348549257.0,21821721714.6,2269.327,0.0,95.96617908103144,81.58060739581987,81.39730654296696,False
2025-07-18,1373,0.6737072104879825,0.6802621995630007,0.0305899490167516,0.4501092498179169,0.7008733624454149,2277.152,0.003448158859432615,2241.758,2210.1402000000003,73.50296571561029,87.82676813052377,84.92797207577775,18.430079079519246,17.082249548530186,21196707708.0,21680233372.2,2277.152,0.0,93.62436024001585,87.64110905928031,83.47857404840474,False
2025-07-21,1373,0.7771303714493809,0.7960670065549891,0.0225782957028404,0.6919155134741443,0.6802621995630007,2296.883,0.0086647707311589,2261.721,2226.8098999999997,75.34299302399828,91.81590656874586,87.22395024010045,20.056491227671785,18.430079079519246,22542405159.0,21151045699.2,2296.883,0.0,100.99981922603669,87.82676813052377,84.92797207577775,False
2025-07-22,1373,0.7079388201019665,0.5768390386016023,0.0254916241806263,0.3503277494537509,0.7960670065549891,2310.856,0.006083461804541335,2276.8824,2239.7878000000005,76.58316101100912,93.92082882284242,89.45624310101444,20.99161733385297,20.056491227671785,24246464787.0,21616606507.8,2310.856,0.0,102.85000026649843,91.81590656874586,87.22395024010045,False
2025-07-23,1374,0.5167394468704513,0.3056768558951965,0.0349344978165938,0.2168850072780203,0.5768390386016023,2310.671,-8.00569139749463e-05,2292.9777999999997,2252.3874,76.52827914629958,90.98657307567544,89.96635309256811,19.58953277492151,20.99161733385297,23415958182.0,21969021729.0,2310.856,8.005691397490807e-05,93.02701304189009,93.92082882284242,89.45624310101444,False
2025-07-24,1374,0.6754002911208151,0.5633187772925764,0.0262008733624454,0.8085880640465793,0.3056768558951965,2345.367,0.015015551759640644,2308.1858,2267.9664000000002,79.49602077138809,93.99104871711697,91.30791830075107,21.203428795305257,19.58953277492151,23323197809.0,22550017018.6,2345.367,0.0,99.35730954984874,90.98657307567544,89.96635309256811,False
2025-07-25,1376,0.7122093023255814,0.6155523255813954,0.0218023255813953,0.5465116279069767,0.5633187772925764,2340.056,-0.002264464367410346,2320.7666,2281.2623,77.87290642559104,93.6143711386564,92.07673591338617,19.46844646138095,21.203428795305257,22571518586.0,22944946729.0,2345.367,0.0022644643674103663,96.68964158919684,93.99104871711697,91.30791830075107,False
2025-07-28,1377,0.7901234567901234,0.7320261437908496,0.0217864923747276,0.6427015250544662,0.6155523255813954,2362.6,0.009633957477940713,2333.9100000000003,2297.8155,79.76182974758228,94.80384878329352,92.98577353668863,19.236312218132568,19.46844646138095,21686423753.0,23219908904.6,2362.6,0.0,98.4399992765033,93.6143711386564,92.07673591338617,False
2025-07-29,1376,0.720203488372093,0.6933139534883721,0.0218023255813953,0.4396802325581395,0.7320261437908496,2406.594,0.01862101075086775,2353.0575999999996,2314.97,82.84037118508436,96.53589918886234,94.16914875407986,22.652237234857083,19.236312218132568,23071609941.0,23048712623.4,2406.594,0.0,101.26940005842732,94.80384878329352,92.98577353668863,False
2025-07-30,1375,0.5418181818181819,0.3876363636363636,0.029090909090909,0.2596363636363636,0.6933139534883721,2367.684,-0.01616807820513133,2364.4602000000004,2328.719,72.35687747237532,88.59669454909387,92.31166401908453,17.54251845413951,22.652237234857083,25030490858.0,22813741654.2,2406.594,0.01616807820513134,81.16675560911256,96.53589918886234,94.16914875407986,False
2025-07-31,1373,0.370721048798252,0.2505462490895848,0.0524399126001456,0.2527312454479242,0.3876363636363636,2328.313,-0.01662848589592192,2361.0494000000003,2334.6176000000005,63.588087566044,72.7467313612302,85.79001979979975,7.258128378165168,17.54251845413951,25275364453.0,23136648189.4,2406.594,0.03252771344065511,46.660154484091095,88.59669454909387,92.31166401908453,False
2025-08-01,1374,0.4556040756914119,0.3646288209606987,0.0436681222707423,0.6448326055312955,0.2505462490895848,2322.627,-0.0024421115202295507,2357.5636,2339.1650999999997,62.4117251829417,57.747551294582046,76.44253029806052,-1.4476674250490476,7.258128378165168,22816838411.0,23527081518.2,2406.594,0.034890388657164484,20.357593287625093,72.7467313612302,85.79001979979975,False
2025-08-04,1373,0.6474872541879096,0.6700655498907502,0.0240349599417334,0.797523670793882,0.3646288209606987,2334.323,0.005035677274052075,2351.9082,2342.9091,63.891481565251475,48.26202174151605,67.04902744587903,-6.485801927047561,-1.4476674250490476,21183884781.0,23576145483.2,2406.594,0.030030408120356063,10.6880103327901,57.747551294582046,76.44253029806052,False
2025-08-05,1374,0.75254730713246,0.8093158660844251,0.0167394468704512,0.710334788937409,0.6700655498907502,2343.376,0.0038782122268428143,2339.2646,2346.1611000000003,65.03874892475156,44.89078248281212,59.6629457915234,-9.28356776053974,-6.485801927047561,22517728715.0,23475637688.8,2406.594,0.02626866018946272,15.346455865389572,48.26202174151605,67.04902744587903,False
2025-08-06,1376,0.7819767441860465,0.8328488372093024,0.0109011627906976,0.6795058139534884,0.8093158660844251,2358.955,0.006648100859614425,2337.5188,2350.9895,66.98288150014511,47.72405552534992,55.68331570279891,-9.676343130738573,-9.28356776053974,25489331299.0,23364861443.6,2406.594,0.01979519603223482,31.805535170451947,44.89078248281212,59.6629457915234,False
2025-08-07,1376,0.7609011627906976,0.7332848837209303,0.0116279069767441,0.3880813953488372,0.8328488372093024,2342.861,-0.0068225125108364315,2340.4284,2350.7389000000003,63.08038645505577,44.36418183128345,51.91027107896042,-12.561666525891994,-9.676343130738573,25797855397.0,23456629531.8,2406.594,0.026482655570486825,29.272003335929526,47.72405552534992,55.68331570279891,False
2025-08-08,1376,0.6635174418604651,0.4745639534883721,0.0203488372093023,0.3713662790697674,0.7332848837209303,2333.959,-0.0037996278908565273,2342.6947999999998,2350.1292000000003,60.964634340217195,39.22106442546569,47.68053552779551,-15.911433458933459,-12.561666525891994,24349547340.0,23561127720.6,2406.594,0.030181659224613796,22.30212222080604,44.36418183128345,51.91027107896042,False
2025-08-11,1377,0.8402323892519971,0.7625272331154684,0.0094408133623819,0.8576615831517792,0.4745639534883721,2379.816,0.019647731601112106,2351.7934,2351.8507999999997,67.08844284869497,53.62679340568371,49.662621487091585,-12.351256004510248,-15.911433458933459,24490980549.0,23867669506.4,2406.594,0.011126928763223147,61.55513724286797,39.22106442546569,47.68053552779551,False
