B,R,tol,Rb,recall,false,relax,n_confirm_days
0.65,0.4,0.02,0.08,3,0,2.9016,175
0.625,0.5,0.015,0.0,3,0,2.9008,177
0.6,0.375,0.015,0.07,3,0,2.9,145
0.6,0.375,0.02,0.12,3,0,2.9,145
0.625,0.4,0.0125,0.02,3,0,2.898,142
0.625,0.4,0.0175,0.07,3,0,2.898,166
0.65,0.425,0.015,0.02,3,0,2.896,161
0.65,0.425,0.02,0.07,3,0,2.896,179
0.6,0.4,0.015,0.06,3,0,2.8944,150
0.6,0.4,0.02,0.11,3,0,2.8944,152
0.725,0.375,0.015,0.0,3,0,2.8929,184
0.625,0.425,0.0125,0.01,3,0,2.8925,146
0.625,0.425,0.0175,0.06,3,0,2.8925,168
0.65,0.45,0.015,0.01,3,0,2.8905,169
0.65,0.45,0.02,0.06,3,0,2.8905,186
0.6,0.425,0.015,0.05,3,0,2.8889,149
0.6,0.425,0.02,0.1,3,0,2.8889,154
0.625,0.45,0.0125,0.0,3,0,2.8869,154
0.675,0.375,0.015,0.03,3,0,2.8857,161
0.675,0.375,0.02,0.08,3,0,2.8857,176
0.65,0.475,0.015,0.0,3,0,2.8849,178
0.6,0.45,0.015,0.04,3,0,2.8833,152
0.6,0.45,0.02,0.09,3,0,2.8833,159
0.65,0.375,0.0125,0.02,3,0,2.8821,143
0.65,0.375,0.0175,0.07,3,0,2.8821,167
0.675,0.4,0.015,0.02,3,0,2.8802,165
0.675,0.4,0.02,0.07,3,0,2.8802,184
0.625,0.375,0.015,0.06,3,0,2.8786,151
0.625,0.375,0.02,0.11,3,0,2.8786,153
0.6,0.475,0.015,0.03,3,0,2.8778,155
0.6,0.475,0.02,0.08,3,0,2.8778,169
0.65,0.4,0.0125,0.01,3,0,2.8766,150
0.65,0.4,0.0175,0.06,3,0,2.8766,173
0.6,0.375,0.0125,0.05,3,0,2.875,132
0.6,0.375,0.0175,0.1,3,0,2.875,145
0.675,0.425,0.015,0.01,3,0,2.8746,169
0.675,0.425,0.02,0.06,3,0,2.8746,186
0.625,0.4,0.015,0.05,3,0,2.873,153
0.625,0.4,0.02,0.1,3,0,2.873,159
0.6,0.5,0.015,0.02,3,0,2.8722,159
0.6,0.5,0.02,0.07,3,0,2.8722,177
0.65,0.425,0.0125,0.0,3,0,2.871,154
0.6,0.4,0.0125,0.04,3,0,2.8694,134
0.6,0.4,0.0175,0.09,3,0,2.8694,148
0.675,0.45,0.015,0.0,3,0,2.869,179
0.625,0.425,0.015,0.04,3,0,2.8675,152
0.625,0.425,0.02,0.09,3,0,2.8675,159
0.6,0.525,0.015,0.01,3,0,2.8667,167
0.6,0.525,0.02,0.06,3,0,2.8667,184
0.7,0.375,0.015,0.02,3,0,2.8643,166
0.7,0.375,0.02,0.07,3,0,2.8643,185
0.6,0.425,0.0125,0.03,3,0,2.8639,133
0.6,0.425,0.0175,0.08,3,0,2.8639,152
0.625,0.45,0.015,0.03,3,0,2.8619,156
0.625,0.45,0.02,0.08,3,0,2.8619,170
0.6,0.55,0.015,0.0,3,0,2.8611,177
0.675,0.375,0.0125,0.01,3,0,2.8607,151
0.675,0.375,0.0175,0.06,3,0,2.8607,174
0.7,0.4,0.015,0.01,3,0,2.8587,173
0.7,0.4,0.02,0.06,3,0,2.8587,191
0.6,0.45,0.0125,0.02,3,0,2.8583,138
0.6,0.45,0.0175,0.07,3,0,2.8583,161
0.65,0.375,0.015,0.05,3,0,2.8571,154
0.65,0.375,0.02,0.1,3,0,2.8571,160
0.625,0.475,0.015,0.02,3,0,2.8563,160
0.625,0.475,0.02,0.07,3,0,2.8563,178
0.675,0.4,0.0125,0.0,3,0,2.8552,158
0.625,0.375,0.0125,0.04,3,0,2.8536,135
0.625,0.375,0.0175,0.09,3,0,2.8536,149
0.7,0.425,0.015,0.0,3,0,2.8532,179
0.6,0.475,0.0125,0.01,3,0,2.8528,145
0.6,0.475,0.0175,0.06,3,0,2.8528,167
0.65,0.4,0.015,0.04,3,0,2.8516,156
0.65,0.4,0.02,0.09,3,0,2.8516,164
0.625,0.5,0.015,0.01,3,0,2.8508,167
0.625,0.5,0.02,0.06,3,0,2.8508,184
