date,high,low,close,volume
2025-12-05,1578.129,1542.951,1576.524,3221311600.0
2025-12-08,1615.799,1578.732,1607.835,3826337100.0
2025-12-09,1618.309,1596.645,1602.387,3173707600.0
2025-12-10,1609.041,1578.3,1604.564,3206078700.0
2025-12-11,1608.125,1583.91,1583.91,3615720600.0
2025-12-12,1614.302,1571.102,1611.935,4626605500.0
2025-12-15,1605.144,1580.006,1580.322,3745317700.0
2025-12-16,1577.335,1539.075,1548.325,3348774100.0
2025-12-17,1584.045,1539.072,1581.948,3440929900.0
2025-12-18,1586.462,1568.221,1568.221,3242933100.0
2025-12-19,1587.776,1568.828,1571.219,3373067300.0
2025-12-22,1601.072,1577.812,1596.497,3658553800.0
2025-12-23,1613.968,1592.125,1602.589,3697582600.0
2025-12-24,1624.152,1599.233,1622.726,3740450900.0
2025-12-25,1639.827,1614.938,1636.693,3991335000.0
2025-12-26,1646.785,1625.489,1634.296,4486948700.0
2025-12-29,1653.858,1632.438,1638.081,4330218200.0
2025-12-30,1651.114,1633.504,1642.579,3977119900.0
2025-12-31,1651.561,1632.036,1636.703,3759848500.0
2026-01-05,1695.839,1651.116,1695.839,5134662100.0
2026-01-06,1723.833,1692.767,1720.406,5334446700.0
2026-01-07,1749.839,1719.462,1746.723,5728959200.0
2026-01-08,1779.961,1743.141,1766.567,5875474700.0
2026-01-09,1805.236,1754.105,1803.4,6152847100.0
2026-01-12,1858.175,1806.019,1855.381,7170283900.0
2026-01-13,1853.307,1798.138,1806.017,7144615800.0
2026-01-14,1874.26,1810.439,1835.411,7563217500.0
2026-01-15,1832.158,1794.517,1825.301,5744277700.0
2026-01-16,1869.575,1830.908,1855.029,6346023900.0
2026-01-19,1864.817,1845.901,1851.073,5521467700.0
2026-01-20,1868.257,1806.006,1820.478,5651856000.0
2026-01-21,1871.735,1815.133,1862.687,5358702100.0
2026-01-22,1891.448,1854.839,1865.343,5484113600.0
2026-01-23,1899.777,1861.44,1899.777,6727313400.0
2026-01-26,1908.842,1849.469,1857.497,7287628100.0
2026-01-27,1896.069,1824.356,1889.464,6518460900.0
2026-01-28,1901.291,1864.918,1880.565,5534004600.0
2026-01-29,1890.811,1830.59,1831.104,5785640500.0
2026-01-30,1844.733,1782.173,1832.559,5407802900.0
2026-02-02,1831.596,1759.76,1760.225,5019944900.0
2026-02-03,1804.001,1755.127,1803.143,4805735200.0
2026-02-04,1789.037,1759.52,1785.426,4738773700.0
2026-02-05,1770.427,1743.082,1759.681,4307160300.0
2026-02-06,1775.503,1732.851,1753.605,4010065200.0
2026-02-09,1798.397,1775.519,1796.862,4672015000.0
2026-02-10,1816.337,1798.49,1802.458,3993232700.0
2026-02-11,1805.354,1787.962,1788.217,3469533000.0
2026-02-12,1820.125,1794.053,1816.149,3849195100.0
2026-02-13,1831.037,1804.082,1809.178,3890459100.0
2026-02-24,1831.42,1785.599,1798.208,4152756300.0
2026-02-25,1826.079,1788.685,1819.723,4506349100.0
2026-02-26,1850.897,1801.78,1843.204,4621314900.0
2026-02-27,1853.054,1816.833,1849.773,4446061600.0
2026-03-02,1853.427,1818.586,1827.539,5610375100.0
2026-03-03,1832.945,1726.005,1729.173,5791566400.0
2026-03-04,1748.292,1709.662,1717.99,4225085000.0
2026-03-05,1769.415,1735.604,1748.531,4377802200.0
2026-03-06,1774.405,1738.81,1763.814,4089187700.0
2026-03-09,1746.935,1686.282,1738.997,4802837200.0
2026-03-10,1792.64,1765.98,1791.544,4613644100.0
2026-03-11,1806.951,1773.662,1774.026,4705336600.0
2026-03-12,1782.484,1738.867,1756.144,4374292000.0
2026-03-13,1759.525,1726.747,1730.776,4350347300.0
2026-03-16,1742.205,1701.411,1742.006,4158353800.0
2026-03-17,1745.717,1698.891,1699.051,3801053400.0
2026-03-18,1729.915,1693.495,1729.118,3815402900.0
2026-03-19,1712.088,1682.751,1689.342,3996882300.0
2026-03-20,1709.109,1668.875,1669.985,4654737900.0
2026-03-23,1651.886,1578.58,1587.676,5147576200.0
2026-03-24,1639.056,1576.398,1639.056,4230290100.0
2026-03-25,1684.174,1649.325,1668.08,4051899000.0
2026-03-26,1672.856,1632.423,1637.568,3515023300.0
2026-03-27,1672.459,1610.713,1662.719,3609580400.0
2026-03-30,1661.975,1629.385,1659.737,3718646900.0
2026-03-31,1666.917,1618.578,1618.578,3846273900.0
2026-04-01,1678.337,1647.174,1674.193,4209225400.0
2026-04-02,1667.047,1622.3,1631.319,3723437100.0
2026-04-03,1648.027,1625.538,1631.666,3363524100.0
2026-04-07,1660.082,1635.162,1645.51,3205895600.0
2026-04-08,1738.346,1690.504,1738.346,4795205300.0
2026-04-09,1743.504,1716.129,1725.077,4064202200.0
2026-04-10,1764.876,1742.619,1744.451,4171264200.0
2026-04-13,1772.313,1734.909,1756.154,3993352800.0
2026-04-14,1793.647,1767.992,1793.647,4381660400.0
2026-04-15,1826.506,1792.997,1799.641,4613669200.0
2026-04-16,1830.92,1794.75,1829.673,4370377300.0
2026-04-17,1849.188,1822.816,1843.931,4409559900.0
2026-04-20,1863.14,1842.415,1857.482,4802124300.0
2026-04-21,1849.513,1822.248,1842.374,4569323900.0
2026-04-22,1874.869,1834.102,1874.601,4835449800.0
2026-04-23,1885.11,1822.559,1840.602,5031619500.0
2026-04-24,1868.855,1816.437,1855.328,4865902600.0
2026-04-27,1909.52,1854.282,1901.625,5296745400.0
2026-04-28,1914.257,1864.684,1875.79,5144877700.0
2026-04-29,1890.624,1838.753,1885.911,4947156800.0
2026-04-30,1961.163,1893.833,1950.427,6239478000.0
2026-05-06,2060.449,1994.513,2023.663,7086002300.0
2026-05-07,2067.161,2008.783,2064.034,5955354300.0
2026-05-08,2046.92,2018.794,2038.281,5961569300.0
2026-05-11,2111.24,2059.209,2106.974,7106544700.0
2026-05-12,2127.135,2079.598,2108.634,6351252300.0
2026-05-13,2152.448,2068.519,2150.271,6309677900.0
2026-05-14,2169.502,2096.367,2099.563,6817550400.0
2026-05-15,2136.963,2040.598,2074.78,7091804400.0
2026-05-18,2127.439,2059.53,2094.473,6331396400.0
2026-05-19,2149.503,2046.985,2149.248,6305155500.0
2026-05-20,2199.788,2136.714,2198.875,6567311700.0
2026-05-21,2238.958,2097.223,2101.716,7868292000.0
2026-05-22,2153.599,2095.191,2148.183,6505959500.0
2026-05-25,2224.648,2136.031,2223.694,7166665600.0
2026-05-26,2209.628,2146.493,2192.217,6770015600.0
2026-05-27,2218.567,2124.775,2136.748,6886478600.0
2026-05-28,2182.733,2117.616,2174.333,6537085600.0
2026-05-29,2186.384,2049.933,2070.582,7345958200.0
2026-06-01,2083.373,1991.163,1992.226,5965041100.0
